seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
37,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9031,0.9031,0.0,0.33921333333333326,0.33921333333333326,0.0
38,0.0,0.0,0.0,0.5755215686274511,0.5767264705882355,-0.001204901960784377,60.0,60.0,0.0,0.8634,0.8634,0.0,0.29767,0.29767,0.0
39,0.0,0.0,0.0,0.5751944444444445,0.5763993464052288,-0.001204901960784377,60.0,60.0,0.0,0.8668,0.8668,0.0,0.30107000000000017,0.30107000000000017,0.0
40,0.0,0.0,0.0,0.5757297385620916,0.5769346405228759,-0.001204901960784266,60.0,60.0,0.0,0.8938,0.8938,0.0,0.3292600000000001,0.3292600000000001,0.0
41,0.0,0.0,0.0,0.5754277777777778,0.5766326797385622,-0.001204901960784488,60.0,60.0,0.0,0.9018,0.9018,0.0,0.33764000000000016,0.33764000000000016,0.0
42,0.0,0.0,0.0,0.5754277777777778,0.5766326797385622,-0.001204901960784488,60.0,60.0,0.0,0.8946,0.8946,0.0,0.3288700000000001,0.3288700000000001,0.0
43,0.0,0.0,0.0,0.5751944444444445,0.5763993464052288,-0.001204901960784377,60.0,60.0,0.0,0.8668,0.8668,0.0,0.30107000000000017,0.30107000000000017,0.0
44,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
45,0.0,0.0,0.0,0.5751977124183008,0.576402614379085,-0.001204901960784266,60.0,60.0,0.0,0.8966,0.8966,0.0,0.3308700000000002,0.3308700000000002,0.0
46,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.8975,0.8975,0.0,0.33177000000000023,0.33177000000000023,0.0
47,0.0,0.0,0.0,0.5751977124183008,0.576402614379085,-0.001204901960784266,60.0,60.0,0.0,0.8966,0.8966,0.0,0.3308700000000002,0.3308700000000002,0.0
48,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9012,0.9012,0.0,0.33666000000000007,0.33666000000000007,0.0
49,0.0,0.0,0.0,0.5773630718954249,0.5787437908496733,-0.0013807189542484055,60.0,60.0,0.0,0.8847,0.8847,0.0,0.3189700000000001,0.3189700000000001,0.0
50,0.0,0.0,0.0,0.5746924836601308,0.5762287581699347,-0.00153627450980387,59.0,59.0,0.0,0.5671,0.5671,0.0,0.09386666666666654,0.09386666666666654,0.0
51,0.0,0.0,0.0,0.572433660130719,0.5741160130718955,-0.0016823529411765792,59.0,59.0,0.0,0.5319,0.5319,0.0,0.056916666666666615,0.056916666666666615,0.0
52,0.0,0.0,0.0,0.5703375816993465,0.5720199346405229,-0.0016823529411764682,59.0,59.0,0.0,0.8757,0.8757,0.0,0.3124566666666666,0.3124566666666666,0.0
53,0.0,0.0,0.0,0.5802604575163399,0.5817967320261438,-0.00153627450980387,60.0,60.0,0.0,0.5466,0.5466,0.0,0.06869999999999998,0.06869999999999998,0.0
54,0.0,0.0,0.0,0.5689447712418302,0.5721947712418302,-0.003249999999999975,60.0,60.0,0.0,0.8669,0.8669,0.0,0.3023600000000001,0.3023600000000001,0.0
55,0.0,0.0,0.0,0.5709656862745099,0.5725019607843137,-0.001536274509803759,60.0,60.0,0.0,0.5689,0.5689,0.0,0.09100000000000008,0.09100000000000008,0.0
56,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
57,0.0,0.0,0.0,0.5751944444444445,0.5763993464052288,-0.001204901960784377,60.0,60.0,0.0,0.8668,0.8668,0.0,0.30107000000000017,0.30107000000000017,0.0
58,0.0,0.0,0.0,0.5755281045751635,0.5770643790849674,-0.001536274509803981,60.0,60.0,0.0,0.905,0.905,0.0,0.33908666666666665,0.33908666666666665,0.0
59,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
60,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9098,0.9098,0.0,0.34343333333333337,0.34343333333333337,0.0
61,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9012,0.9012,0.0,0.33666000000000007,0.33666000000000007,0.0
62,0.0,0.0,0.0,0.5763866013071897,0.5777673202614381,-0.0013807189542484055,60.0,60.0,0.0,0.9027,0.9027,0.0,0.3381600000000001,0.3381600000000001,0.0
63,0.0,0.0,0.0,0.5755281045751635,0.5770643790849674,-0.001536274509803981,60.0,60.0,0.0,0.8878,0.8878,0.0,0.3239133333333333,0.3239133333333333,0.0
64,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
65,0.0,0.0,0.0,0.578843137254902,0.5802238562091503,-0.0013807189542482945,59.0,59.0,0.0,0.8708,0.8708,0.0,0.3050700000000002,0.3050700000000002,0.0
66,0.0,0.0,0.0,0.5755215686274511,0.5767264705882355,-0.001204901960784377,60.0,60.0,0.0,0.8634,0.8634,0.0,0.29767,0.29767,0.0
67,0.0,0.0,0.0,0.5750915032679739,0.5762964052287582,-0.001204901960784377,60.0,60.0,0.0,0.9012,0.9012,0.0,0.33666000000000007,0.33666000000000007,0.0
68,0.0,0.0,0.0,0.5731604575163399,0.5759575163398694,-0.0027970588235294302,60.0,60.0,0.0,0.5656,0.5656,0.0,0.0923666666666666,0.0923666666666666,0.0
69,0.0,0.0,0.0,0.5755281045751635,0.5770643790849674,-0.001536274509803981,60.0,60.0,0.0,0.8844,0.8844,0.0,0.31867000000000023,0.31867000000000023,0.0
70,0.0,0.0,0.0,0.5755339869281048,0.576738888888889,-0.001204901960784266,60.0,60.0,0.0,0.8926,0.8926,0.0,0.3268700000000001,0.3268700000000001,0.0
